District,Candidate,Party,Votes
Hosakote,N. NAGARAJ (N.T.B),Independent,225
Hosakote,T.V.MANJUNATHA GOWDA,Independent,223
Hosakote,B.N.ANANDA,Independent,125
Hosakote,M.PREMSAGAR,Independent,92
Hosakote,ANANDA .M.G,Independent,88
Hubli-dharwad- West,ARAVIND CHANDRAKANT BELLAD,Bharatiya Janata Party,42003
Hubli-dharwad- West,S. R. MOREY,Indian National Congress,30821
Hubli-dharwad- West,ISMAIL TAMATGAR,Janata Dal  (Secular),30312
Hubli-dharwad- West,MOHAN LIMBIKAI,Karnataka Jantha Paksha,12216
Hubli-dharwad- West,GURURAJ HUNASHIMARAD,Independent,2471
Hubli-dharwad- West,DAMBAL HANUMANT,Badavara Shramikara Raitara Congress Party,1807
Hubli-dharwad- West,SURESH VEERABHADRAPPA KATAGI,Independent,1091
Hubli-dharwad- West,LAXMAN BASAPPA DODDAMANI,Independent,1066
Hubli-dharwad- West,NAGARAJ TIGADI,Lok Satta Party,843
Hubli-dharwad- West,ISHWAR MALLAPPA SANIKOP,Independent,821
Hubli-dharwad- West,RATNAKAR NARAYAN RAIKAR,Independent,799
Hubli-dharwad- West,VADIRAJ MADHUSUDHAN MANNARI(PANDURANGI),Nationalist Congress Party,745
Hubli-dharwad- West,BAKKAYI LAXMAN CHANDRAPPA,Bahujan Samaj Party,645
Hubli-dharwad- West,H.G. DESAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),339
Hubli-dharwad- West,KUMAR DESAI RAYANAGOUDA DYAMANAGOUDA,Independent,322
Hubli-dharwad- West,RAJU KAMBLE,Bharatiya Janta Dal,241
Hubli-dharwad- West,ANITA HORADI,Independent,221
Hubli-dharwad- West,ANWARSAB BASHASAB RAIBAG,Independent,147
Hubli-dharwad-Central,JAGADISH SHETTAR,Bharatiya Janata Party,58201
Hubli-dharwad-Central,DR. MAHESH NALWAD,Indian National Congress,40447
Hubli-dharwad-Central,SHAMS TABREZ SAMSI,Janata Dal  (Secular),7898
Hubli-dharwad-Central,S. S. PATIL,Karnataka Jantha Paksha,5481
Hubli-dharwad-Central,SIRAJAHMED MULLA,Independent,967
Hubli-dharwad-Central,PREMANATH CHIKKATUMBAL,Bahujan Samaj Party,632
Hubli-dharwad-Central,SAYAD SALAUDDIN SAYAD GOUSE MULLA,Independent,588
Hubli-dharwad-Central,VISHNUSA RAJANASA PAWAR,Independent,523
Hubli-dharwad-Central,RENUKA SHINDE,Nationalist Congress Party,522
Hubli-dharwad-Central,SHIDDALINGAPPA  RAWAPPA KAMPLI,Independent,375
Hubli-dharwad-Central,MANOJ BABURAO HANGAL,Independent,346
Hubli-dharwad-Central,RAVI KALAL,Janata Dal  (United),213
Hubli-dharwad-Central,VISHAL MOHAN SUTAGATTI,Independent,200
Hubli-dharwad-Central,GUDIPATI  JASHUVA,Independent,194
Hubli-dharwad-Central,VINOD PAWAR,Independent,194
Hubli-dharwad-Central,JAFAR NANNESAB DHARAWAD,Independent,168
Hubli-dharwad-Central,AJIJNAJ D MOMIN,Indian Union Muslim League,132
Hubli-dharwad-Central,RAVI BASAPPA MUGAD,Independent,117
Hubli-dharwad-Central,BABAJAN MAKATUMHUSSAIN GHANTIWALE,Independent,113
Hubli-dharwad-East,ABBAYYA PRASAD,Indian National Congress,42353
Hubli-dharwad-East,VEERABHADRAPPA HALAHARAVI,Bharatiya Janata Party,28831
Hubli-dharwad-East,BIJAWAD SHANKARAPPA KASHAPPA,Karnataka Jantha Paksha,26312
Hubli-dharwad-East,ALKOD HANUMANTHAPPA Y,Janata Dal  (Secular),8431
Hubli-dharwad-East,VENKAPPA F SIDDANATH,Independent,850
Hubli-dharwad-East,GURUNATH SHANKER GABBUR,Independent,669
Hubli-dharwad-East,NINGAPPA PIRAPPA MARAGANOOR,Bahujan Samaj Party,628
Hubli-dharwad-East,BALLARY BABU SUNKAPPA,Badavara Shramikara Raitara Congress Party,606
Hubli-dharwad-East,CHENNU MALLIGEWAD,Republican Party of India (A),414
Hukkeri,UMESH VISHWANATH KATTI,Bharatiya Janata Party,81810
Hukkeri,RAVI BASAVARAJ KARALE,Indian National Congress,24484
Hukkeri,BASAVARAJ KASHAPPA MATAGAR,Janata Dal  (Secular),19501
Hukkeri,NINGAPPA BASANAIK BARIGIDAD,Karnataka Jantha Paksha,3058
Hukkeri,SURESH KALLAPPA MANAVADDAR,National People's Party,1780
Hukkeri,RAJENDRA BABU MOSHI,Bahujan Samaj Party,1354
Hukkeri,VIRUPAKSHI BASAPPA MARENNAVAR,Badavara Shramikara Raitara Congress Party,974
Hungund,KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA,Indian National Congress,72720
Hungund,DODDANAGOUDA G PATIL,Bharatiya Janata Party,56923
Hungund,ABDUL ZABBAR S/O. ABDULHASAN KALABURGI,Janata Dal  (Secular),2213
Hungund,H L MADAR,Independent,1292
Hungund,NETIKATTI SHARANBASAPPA MAHANTAPPA,Independent,924
Hungund,SAIM KHAJESAB HUSENASAB,Bahujan Samaj Party,847
Hungund,HALAGATTI KRISHNAGOUD VENKANAGOUD,Karnataka Jantha Paksha,682
Hungund,KHAJESAB SHAMEEDASAB MEKAMUNGALI,Independent,607
Hungund,SANGANAGOUDRA H GOUDAR,Badavara Shramikara Raitara Congress Party,529
Hungund,AMARESH MALLESHAPPA NAGUR,Janata Dal  (United),287
Hunsur,H.P.MANJUNATH,Indian National Congress,83930
Hunsur,KUMARASWAMY,Janata Dal  (Secular),43723
Hunsur,C.T.RAJANNA,Independent,12637
Hunsur,MANJUNATH URS M.C,Karnataka Jantha Paksha,9011
Hunsur,K.S.ANNAYANAYAK,Bharatiya Janata Party,4229
Hunsur,N.PUTTANANJAYYA,SOCIAL DEMOCRATIC PARTY OF INDIA,1745
Hunsur,DYAVAPPANAYAKA,Badavara Shramikara Raitara Congress Party,1434
Hunsur,LOKESHA,Independent,1292
Hunsur,HUNSUR.K.CHANDRASHEKAR,Democratic Prajakranthi Party Secularist,915
Hunsur,K.REVANNA,Independent,744
Hunsur,B.RAJANNA,Independent,620
Hunsur,C.TAYAPPACHARYA,Independent,451
Hunsur,THIMMEGOWDA,Independent,446
Hunsur,H.M.MANJU,Independent,319
Indi,YASHAVANTARAYAGOUDA VITTALAGOUDA PATIL,Indian National Congress,58562
Indi,RAVIKANT SHANKREPPA PATIL,Karnataka Jantha Paksha,25260
Indi,ANNAPPA  SHIVANINGAPPA KHAINUR,Janata Dal  (Secular),23173
Indi,SHRISHAILAGOUDA  SHANKREPPA BIRADAR,Bharatiya Janata Party,15784
Indi,DR: BAGALI SARVABHOUMA SATAGOUD,Independent,7414
Indi,SUBHASHACHANDRA SUNAGAR,Independent,1264
Indi,MANJUNATH SHRISHAIL VANDAL,Badavara Shramikara Raitara Congress Party,1149
Indi,TONTAPUR  DHARMANNA SHIVAYOGAPPA,Bahujan Samaj Party,1087
Indi,AZRODDIN HAYACHAND JAHAGIRADAR,Bharatiya Dr. B.R.Ambedkar Janta Party,912
Indi,GOLLALALINGANAGOUDA PEERAPPAGOUDA JOTAGOND,Independent,849
Indi,ARAVIND RUKMABAI KALAKERI,Independent,805
Indi,COMMANDER BHEERAPPA BHEEMAPPA KHILARI,Independent,712
Indi,TULAJAPPA HANAMANT BYALI,Independent,708
Indi,SHASHIKUMAR SOMASHEKHAR MALABAGI,Independent,651
Indi,MASALI KAMALAKAR SHARANABASAPPA,Janata Dal  (United),445
Jagalur,H.P.RAJESH,Indian National Congress,77805
Jagalur,S.V.RAMACHANDRA,Karnataka Jantha Paksha,40915
Jagalur,DR.G.RANGAIAH,Janata Dal  (Secular),4325
Jagalur,DR. ARUN KUMAR M  BASAPPA,Bharatiya Janata Party,1845
Jagalur,S. HALAPPA,Independent,1304
Jagalur,M.H.RAMANNA,Independent,1079
Jagalur,G.N. BEEMAPPA,Independent,985
Jagalur,RAMESH  BABU .N.H,Badavara Shramikara Raitara Congress Party,684
Jagalur,T. MARANNA,Independent,575
Jagalur,H.O.NARASIMHAMURTHY,Independent,549
Jagalur,PRAKASH .B,Independent,510
Jagalur,DODDAMANI  PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),458
Jagalur,K.S.PRABHAU(KANANAKATTE),Bahujan Samaj Party,447
Jagalur,M.V.ANJANEYA  ADVOCATE,Janata Dal  (United),343
Jagalur,B.N.THIPPESWAMY,Samajwadi Party,325
Jamkhandi,SIDDU B. NYAMAGOUDA,Indian National Congress,49145
Jamkhandi,JAGADISH GUDAGUNTI,Independent,27993
Jamkhandi,SHRIKANT  KULKARNI,Bharatiya Janata Party,20982
Jamkhandi,UMESH MAHABALASHETTI.,Karnataka Jantha Paksha,18211
Jamkhandi,BASAGOND SHIVAGOND SINDHUR,Janata Dal  (Secular),10326
Jamkhandi,RAVINDRA DHANAVANT HALINGALI,Independent,1415
Jamkhandi,SANGAMESH. KAMBLE,Bahujan Samaj Party,1076
Jamkhandi,MAKABUL RAJESAB SAYYAD,Independent,994
Jamkhandi,BASAPPA. SIDDAPPA. KOKATANUR,Independent,950
Jamkhandi,HOOGAR SHANKAR MANOHAR,Janata Dal  (United),658
Jayanagar,B.N. VIJAYAKUMAR,Bharatiya Janata Party,43990
Jayanagar,M.C.VENUGOPAL,Indian National Congress,31678
Jayanagar,K.S.SAMEEULLA,Janata Dal  (Secular),12097
Jayanagar,ROHITH PATEL,Lok Satta Party,2182
Jayanagar,RAVIKUMAR.V.,Karnataka Jantha Paksha,1457
Jayanagar,MAASTHI ZAKIR ALI KHAN,Independent,745
Jayanagar,LAKSHMINARAYANA.,Independent,667
Jayanagar,SUNIL KUMAR. S,Independent,538
Jayanagar,SHASHIKALA,Bahujan Samaj Party,434
Jayanagar,C.K.RAVI CHANDRA,Independent,369
Jayanagar,MANJUNATHA.N,Independent,309
Jayanagar,MAGIC RAMESH,Independent,216
Jayanagar,DR KODUR VENKATESH,Independent,214
Jayanagar,MOHAMMED KALEEMULLA,Rani Chennamma Party,168
Jayanagar,RAJESH.K.,Badavara Shramikara Raitara Congress Party,157
Jayanagar,MOULA.,Independent,142
Jayanagar,DILIP RAJ,Independent,107
Jayanagar,AJMAL PASHA,Independent,95
Jevargi,AJAY DHARAM SINGH,Indian National Congress,67038
Jevargi,DODDAPPA GOUDA PATIL,Bharatiya Janata Party,30338
Jevargi,KEDARLINGAYA HIREMATH,Janata Dal  (Secular),24920
Jevargi,MALLIKARJUN DUNDAPPA GOUDA,Karnataka Jantha Paksha,11865
Jevargi,BAILLAPPA,Badavara Shramikara Raitara Congress Party,3066
Jevargi,LAXMIKANT,Independent,1956
Jevargi,MAHESHKUMAR,Communist Party of India,1638
Jevargi,BHEEMAYYA SOMAYYA,Independent,938
Jevargi,HUSSAIN PATEL,Bahujan Samaj Party,907
Jevargi,DEVARAJ YEDIHALLI,Independent,563
Jevargi,KOUSAR BEGAM,Independent,401
Jevargi,AYYAPPA,Independent,382
Jevargi,KALLALING ESHWARAPPA HUGAR,Independent,330
Jevargi,AKTAR PARVEEN,Samajwadi Party,221
K.r.pura,B.A.BASAVARAJA,Indian National Congress,106299
K.r.pura,N.S.NANDIESHA REDDY,Bharatiya Janata Party,82298
K.r.pura,RAVI PRAKASH. J,Janata Dal  (Secular),3955
K.r.pura,GOWRAMMA,Communist Party of India  (Marxist),1553
K.r.pura,NANDEESHAPPA NAYAKA,Independent,780
K.r.pura,R. PAPAIAH REDDY,Independent,776
K.r.pura,R. SATHYA NARAYANA,Karnataka Jantha Paksha,583
K.r.pura,N. BASAVARAJ,Independent,449
K.r.pura,SRINIVAS N.,Bahujan Samaj Party,382
